id,return_id,issue_date,resolve_date,complaint
9bf5176d-cafd-4a79-bf7a-fde28f62ea29,5948c471-cb92-49ae-86b9-5efcc78a1a6f,2018-06-16 00:00:00,2018-06-26 00:00:00,Austria metoda okazja który wciąż środa.
42c50277-bb70-4b9a-9044-122ecf2b3a44,beaa909d-3069-4024-a7a8-bc42e30abe55,2019-07-02 00:00:00,2019-07-09 00:00:00,Przyjść prezent przyjmować głupi umieszczać niektóry jej.
3da301fd-8e6f-458a-8c53-5ab7be7ec039,f1104ff0-f0df-44c9-9cce-19102f4ce291,2021-07-14 00:00:00,2021-07-17 00:00:00,Autobus mecz urodziny umieć papieros zbyt.
3594f917-0315-4b0d-98a7-e883beb93e3d,ec0977ca-7601-4f94-b334-c7e6fb3545d0,2014-11-23 00:00:00,2014-11-25 00:00:00,Zabawka jedenaście zdanie powstać.
7027626e-c3e8-4202-8c1f-948f4e30a520,2fa2aa4e-d245-40eb-8011-d7357afb3152,2008-09-30 00:00:00,2008-10-08 00:00:00,Rezultat anioł użytkownik.
d46ce0e8-811b-498b-9004-eb9939aeb7e4,27ff268d-b72b-41ff-a63a-1f466c064e7b,2010-08-10 00:00:00,2010-08-12 00:00:00,Dwa warstwa skończyć wchodzić.
aaf44f72-3846-46a3-89e0-e2337a316e5b,327d457c-9733-4b5c-a859-18114c329e29,2016-03-02 00:00:00,2016-03-10 00:00:00,Kilka żaba letni Dania pozbawić żaba głównie.
ac5eaaae-1827-484a-9d1c-91c3b64ee908,cd848146-e06a-4a4e-9f79-3ccccfef3b9b,2020-08-15 00:00:00,2020-08-25 00:00:00,Skończyć wartość planeta szczególnie żeński.
15328a4b-31bc-48db-b42b-4eb34b9f10e2,d76d5f3d-4b07-4a5f-b01c-db8ca674e828,2018-05-01 00:00:00,2018-05-06 00:00:00,Poeta stado Austria danie źle kolejowy poprzedni.
12325209-4e5b-4192-b9f7-1c87b4a59966,206af1ca-61c4-4c18-8946-592514da0ea5,2009-01-02 00:00:00,2009-01-07 00:00:00,7 cierpienie autobus kolejny obraz kot wódka Włochy.
5b6bf996-bfe4-4a05-92be-6fd0fc960267,d3ba6851-fe48-447b-aa4b-e899219218df,2004-01-02 00:00:00,2004-01-08 00:00:00,Palić czwarty dialekt mocz przemysł pole ładny związać.
4a16561b-c310-425e-ac58-5440970c5f62,87a29f5c-2838-418b-8cc5-2e91eb906931,2007-09-09 00:00:00,2007-09-16 00:00:00,Ogród szczególny kłaść Unia Europejska.
e914a744-821a-4d5a-b42e-29895107dbb7,fc85220b-7b32-4971-8e21-a54a8dbe8e74,2008-05-28 00:00:00,2008-05-29 00:00:00,Nocny jazda serce Niemiec parlament.
f983c41a-bb56-4c8c-b48a-35ee2bd0a2e2,85fa5e1f-61e3-41ed-8e16-3522ba111ea1,2001-07-17 00:00:00,2001-07-23 00:00:00,Szkodliwy widok dla seksualny lekki akt rosyjski żywy.
e9907fc7-9677-4efb-8174-619ee7c50ef4,112d3df1-1a02-476a-81d1-47435e884552,2016-05-16 00:00:00,2016-05-25 00:00:00,0 całkiem złożony umieć drewno babka.
51554a03-58b7-4a3f-92cb-fc4b4899e582,8623544f-8b80-4c29-8646-d7ff29e4b44f,2000-04-16 00:00:00,2000-04-19 00:00:00,Handlowy wieża choroba.
a758ca47-73a9-434a-9754-6524d0afbd26,80c9a375-0d9b-4481-b2a9-e0493450ff1c,2004-04-23 00:00:00,2004-04-24 00:00:00,Nóż duży zaś tydzień wiek.
34b756e0-bb14-4261-9ef7-cac067e12e11,d29c7234-9945-4328-abde-18c9ae375341,2020-07-14 00:00:00,2020-07-21 00:00:00,Pieśń ojczyzna przygotować.
8962957f-d6e5-4fc5-ab0e-c3bcebc405a2,35ab75e4-0541-49ab-ae2e-b1df47240c8a,2012-09-03 00:00:00,2012-09-05 00:00:00,Niewolnik długo zwykle czysty burza ocena własność operacja.
fa5c5f4b-e213-419f-952f-a085606643cc,63449276-cce0-46cb-bc87-75a49b4a7c93,2017-08-13 00:00:00,2017-08-21 00:00:00,Ksiądz sam udać się podatek pomysł święto sportowy.
066e3273-66a3-4889-aad7-72518517dd0d,e07d398e-30e2-428e-9aad-ca84c26dd315,2014-08-26 00:00:00,2014-08-28 00:00:00,Skłonność typ anioł znaczenie znaczenie.
6082624b-b6fb-4cc7-8fa9-f42889ab266f,2dbefe32-a824-4e9e-aa71-d947c030181f,2010-10-25 00:00:00,2010-10-31 00:00:00,Gospodarka wola żółty Wielka Brytania.
f6670815-e2f2-4910-ad63-f306af053800,0731bd7f-1422-4959-9d4e-a23da48cfae3,2016-06-12 00:00:00,2016-06-22 00:00:00,Powinien władza obecnie podać usta.
27530991-6871-4452-ae45-282cb06cb019,4112cac6-f3c5-4b73-9184-8817dbfce136,2006-12-26 00:00:00,2006-12-31 00:00:00,Umysł krzesło więcej za pomocą łąka lęk wieczór błoto.
71953411-0a6a-4ed6-a871-812adce51d26,826ba0ff-c30c-4e41-9f5e-32ca6e412bbc,2016-06-29 00:00:00,2016-07-02 00:00:00,Stanowić dane gęś w ciągu samochodowy – paliwo.
c8f248d8-5915-4a9d-bca8-5e55dee97354,66ce507b-7b20-4fd3-984d-7f8c75c904bc,2002-10-17 00:00:00,2002-10-23 00:00:00,Musieć wiedzieć występować.
92982864-6991-446f-8094-494d72b62a35,28b91572-3cde-4a0d-94a3-e940c25db4ff,2006-09-09 00:00:00,2006-09-13 00:00:00,Flaga wesoły przedmiot papież.
b8acabdc-2c45-4ab8-a275-f31764f18d42,fad32155-729c-4d8b-85f1-fd549b586f28,2003-06-01 00:00:00,2003-06-09 00:00:00,Przygotować gospodarka pokarm książka używać czynnik znowu.
21d05f9a-d4f4-4e24-bd1b-809396686781,314a48fe-8370-4267-951f-f07eb4171c4f,2008-03-06 00:00:00,2008-03-15 00:00:00,Jeden osioł barwa razem.
f686c002-4177-48e0-9cc6-3323495e9525,c0376c17-6e73-48d2-99fe-de8c19ee13f9,2010-10-21 00:00:00,2010-10-27 00:00:00,Skutek pływać towar rysunek oko majuskuła wtedy.
5fedd1ec-d132-4c9d-b22d-18621a65eb7e,975e6e4d-e6ca-4299-bf19-5ec633e9171f,2006-06-30 00:00:00,2006-07-02 00:00:00,Zdanie dziadek klient podawać nasz komputer pani.
cccb92fa-85a8-4e1a-8057-318f048362b1,30cb29bf-203b-44ce-b591-6abf53c45707,2017-11-23 00:00:00,2017-11-29 00:00:00,Wiersz gołąb okrągły numer fragment reakcja.
33232726-a1d8-420e-8940-59e33dce86c2,c8d34dd9-43af-4630-9c6a-6b7351720ed8,2013-11-18 00:00:00,2013-11-19 00:00:00,Uczeń chęć budowla Słowacja motyl rodzic.
