id,name,issue_year,main_building_material
10973187-0a3e-4389-8bcb-c7adf6e1133d,Hat,2018,Glass
83d38658-b14f-4792-a717-ce16c31407c7,For repair wooden keyboard,2012,Plastic PBT
1b9640f9-096b-4d89-90c5-41c601db38b7,Steel pants,2002,Glass
3ff58eef-b7e0-42a6-b8f4-cf42613674d1,Metal bacon,2012,Aluminum
56dda48b-2429-41fb-9199-84855fd2a5a0,Incredible soft bike,2018,Fiber
73f1a56f-daaf-4d57-aea5-271c9940ff3a,Rubber gloves,2000,Plastic ABS
4df1eac7-0884-47ae-ba3a-8648713b1a93,Soft bacon,2020,Aluminum
14f7b97d-4f17-4069-a4e0-0d2c62fd954b,Rubber bacon,2009,Aluminum
af244b73-2b54-4687-bbf0-50a2173df1f3,Tasty computer,2012,Metal
5a7cca9f-179a-4d43-9465-ae38fc8edea1,Plastic chair,2021,Aluminum
10c657ee-42c4-43ba-836d-e70a54dbe5fe,For repair metal car,2011,Glass Fiber
89c892a1-7e5d-46c9-af34-cc3abb798603,Sleek metal fish,2012,Fiber
caf17f0b-ece1-4312-97cf-aa55956aa8e8,Shirt,2011,Aluminum
63f7a64b-17e7-4175-bb5f-9e19d5622cc0,Ergonomic frozen towels,2005,Aluminum
42b8bf84-ba2a-44c7-910d-7ddab51253dc,Rubber car,2013,Plastic PBT
c1d04aff-694d-4640-8610-a33178ee7f82,For repair concrete shirt,2004,Wood
a0881eda-fa53-486b-9356-2cd5063f6854,Cheese,2022,Plastic PBT
48f27dea-336e-43b1-82de-06db4e219987,Awesome chicken,2016,Glass Fiber
14415ad9-6fc2-42c2-8787-66565d376751,Awesome fish,2004,Wood
f2dc7347-ca26-4251-b417-866329e55171,Granite gloves,2013,Metal
de5c9b09-7776-48e6-8197-89b89b09c0eb,Pants,2000,Fiber
5b109d46-493a-4ae4-8681-7939c5c6600d,Practical metal chips,2000,Aluminum
4f08e1ca-0e10-498b-88cb-a2f4b5bb725e,Gorgeous tuna,2013,Fiber
814440d6-7841-46a5-9b75-00d37f507b55,Incredible frozen computer,2010,Fiber
9d214cd0-49b1-4918-a903-9817830f2c0c,Licensed ball,2010,Metal
83dffc20-4c62-409e-bf0a-16dae4fbb62d,Cotton chicken,2000,Steel
5e8b2f5a-2a11-46d4-9d16-10dd99803b37,Small soap,2016,Metal
dfaa8288-6fff-4ef5-9b76-86350faeaacc,Sleek concrete fish,2006,Aluminum
b6edc6fc-e53b-4370-ba2f-16a98742571e,Awesome table,2016,Plastic POM
cf974ef8-3b52-45b2-b24f-53933651529f,Chair,2007,Glass Fiber
07c5f942-3c54-4f02-b8f6-b22dacbc72b0,Fresh shirt,2002,Plastic POM
b9706788-bb04-49e7-b228-2ba9716fb145,Concrete keyboard,2015,Metal
1dad3631-ad2a-468b-b85a-daaa5f4a40b3,Metal shirt,2004,Glass
80100897-5cfc-428c-809c-7121cd583f62,Handmade salad,2005,Fiber
334a4e4f-16fb-4016-8aef-42b5e0d7e81d,Gorgeous hat,2001,Fiber
36364f6d-f9b9-4c37-805b-2c3235593671,Fantastic mouse,2022,Fiber
1cf72633-932c-4385-aab0-6c88dd08281d,Shoes,2000,Metal
90955a64-f612-4cd6-a242-8169cce8cfc6,Metal shoes,2003,Wood
5be36066-7f75-412b-a28f-c6f614ca33d1,Bacon,2003,Metal
f30bd8c5-293e-4363-ba58-78e09e218b46,Shoes,2014,Plastic PBT
4fe446d2-ccd4-419b-bfd4-9ad83ddfdfd6,Mouse,2011,Fiber
b70b4d82-d3e7-470c-91ef-51f7a8603d91,Handcrafted concrete bike,2012,Plastic POM
a2a682dd-2dcc-410e-8b58-06ed92c239ae,Rubber fish,2021,Plastic PBT
809e15f6-1139-48d3-ab99-b5f7eb7c07f7,For repair soft car,2008,Plastic POM
a9c05474-3860-449c-8a8a-3fc766de9027,Granite fish,2000,Fiber
26f55c26-e74b-4abb-9bad-6258649502e5,Steel soap,2007,Glass
341fb934-1d08-4f53-ac3f-8d82ca8c926b,Granite table,2000,Glass
68d9b741-d8a7-4323-874a-647d3fe5e374,Wooden fish,2010,Fiber
1fdee694-7fff-4cd7-b2da-bf9690bc29a0,Computer,2014,Fiber
a364ca7e-c2e7-4ee2-851c-e660ad2767ee,Plastic gloves,2009,Aluminum
081e109b-9128-4241-ab88-c3fd618a827e,Bacon,2022,Plastic POM
0b5f183a-595f-4eb5-96af-074e2ebd1002,Granite salad,2013,Plastic PBT
86e7f832-e840-4ba4-83c9-aa35e1f46829,Frozen bike,2000,Aluminum
368d99cb-43e9-4442-b464-c624ea68b4e3,Tasty soft keyboard,2021,Fiber
a435845b-3223-4d33-8fd3-0a603d0810da,Soap,2012,Aluminum
91b0d67d-c9a6-4ac1-a4dd-3639e9c0d4ff,Metal fish,2015,Metal
1c899e97-fced-4cb3-a3bc-91749504140c,Handcrafted shoes,2008,Glass
ed075710-8d88-479f-a63d-65015f76f93b,Metal ball,2011,Steel
f4428639-b473-4cdf-a4bb-c905fa7f981c,Keyboard,2008,Steel
566b293d-d381-4813-9a62-d23ee69097f7,Bacon,2002,Plastic POM
5378b9e9-b3a9-495b-81be-669d6d2d9bf1,Fantastic shirt,2010,Glass Fiber
562535de-227a-4548-abfc-3a47f6a716c6,Refined cheese,2018,Steel
236c2a09-a0ba-4176-8d5a-5ff238cc4c1e,Towels,2000,Metal
a9e64df6-30c3-4874-a2e5-c3caa03df0c5,Hat,2007,Plastic ABS
b6880acb-d4a0-4ce1-9fff-5ab8e4d22b6e,Wooden towels,2008,Aluminum
dfb25e0a-fd3e-4173-b254-ed6cc3c5a30b,Handmade fresh chips,2016,Glass
2edb9436-e66f-4701-b780-b1175f659d31,Practical mouse,2020,Aluminum
63320ecb-a462-4852-9a66-611bcd4834db,Unbranded shirt,2015,Plastic POM
815bf0f5-df7f-49fa-b553-ac3646bb6952,Metal towels,2003,Fiber
45693916-fd3e-441e-a7f0-7f9a26c0c51b,Fresh table,2018,Plastic PBT
120450ab-ab14-48e0-9b13-07aadc3ac6bf,Gently used chicken,2013,Plastic PBT
448568d1-92e3-4793-af7f-48a3105fad48,Metal bacon,2000,Aluminum
eb90ddee-db61-4a72-aaf2-50225091b2d9,Wooden soap,2003,Steel
49f1a0d3-cc45-496d-85b2-b578ec6cecd6,Fantastic metal hat,2013,Glass Fiber
1c3c5cb0-7599-495e-b383-d6f5f031f2f7,Fantastic chips,2015,Glass Fiber
8d92d67e-1ffd-4418-92e8-3ea0179ff88f,Fresh keyboard,2018,Metal
cce651c4-443b-4821-ae00-36d03410f8ef,Intelligent fresh tuna,2017,Plastic POM
c736a65f-c2f2-4ffc-a2f1-30a1599122d5,For repair shoes,2017,Glass
210bcb6c-7c9f-473a-a953-a2b40c4ce18a,Small chair,2007,Aluminum
ba866548-60c6-4b35-8929-0d5453ef9c30,Fresh table,2000,Plastic ABS
472fc00e-954a-4318-8d29-116d58a464e6,Frozen bacon,2022,Plastic ABS
096c1d45-35a9-477a-82de-810fe2d19f22,Chair,2012,Plastic PBT
f4345b33-52ff-42de-b91f-07a313dc7c16,Used shirt,2013,Plastic ABS
d825d9e3-b70c-4c8a-9512-ebbcb69ee914,Frozen pants,2010,Plastic PBT
a9afd596-311a-4031-82af-4396887701b1,Practical bacon,2014,Fiber
e62686ea-7c5f-48bd-9f19-3d93d3db6d0b,Granite shirt,2022,Metal
